wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J102941.72-020121.1,10 29 41.72,-02 01 21.11,DZ+M,6372.0,4.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J102955.65+310353.6,10 29 55.65,31 03 53.38,DZ,9423.0,8.3879,0.8286,,1.33,<-5.549,,,,,,,,,,,,,,,,,,,-7.8296,,,,,,,,,,,,,,,,,,,,,2.978540544,335.73,He,
SDSS J102956.06+122729.6,10 29 56.07,12 27 29.59,DZ,7158.0,8.0,,,0.0,<-3.9889,,,,,,,,,,,,,,,,,,,-10.3254,,,,,,,,,,,,,,,,,,,,,,304.9386,He,
SDSS J103002.14+035002.0,10 30 02.18,03 50 01.61,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8546,259.43,,
SDSS J103123.91+093657.8,10 31 23.90,09 36 58.01,DZ,11104.0,8.1015,0.6442,,0.55,<-5.9799,,,,,,,,,,,,,,,,,,,-9.8437,,,,,,,,,,,,,,,,,,,,,5.192549837,192.58,He,
SDSS J103126.19+120340.4,10 31 26.16,12 03 40.01,DZ,8403.0,8.087,0.63,,1.16,-4.0,,,,,,,,,,,,,,,,,,,-8.81,,,,,,,,,,,,,,,,,,,,,10.0055721,99.94,He,
SDSS J103205.15+133833.4,10 32 05.14,13 38 33.08,DZ,5479.0,8.0,,,0.0,<-3.0,,,,,,-9.01,,-7.3,,,,,,,,,,,-9.1,,,,,,,,,,,-8.1,,,,,,,,,,,208.7696,He,
SDSS J103219.18+132003.2,10 32 19.09,13 20 03.30,DZ,6595.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-10.165,,,,,,,,,,,,,,,,,,,,,8.266329269,120.97,He,
SDSS J103300.12+624747.9,10 32 59.90,62 47 47.60,DZ,7474.0,8.0923,0.6319,,1.5,<-4.0659,,,,,,,,,,,,,,,,,,,-10.0393,,,,,,,,,,,,,,,,,,,,,8.025629199,124.60,He,
SDSS J103310.69+283707.5,10 33 10.69,28 37 07.20,DZ,6681.0,8.0,,,0.0,<-3.6005,,,,,,,,,,,,,,,,,,,-9.0487,,,,,,,,,,,,,,,,,,,,,,291.195,He,
SDSS J103352.89+180935.3,10 33 52.95,18 09 34.38,DZ,6147.0,8.267,0.743,,4.19,<-3.0071,,,,,,,,-7.7,,,,,,,,,,,-8.6,,,,,,,,,,,-7.6,,,,,,,,,,8.350646329,119.75,He,
SDSS J103534.76+240409.9,10 35 34.74,24 04 10.03,DZ,7314.0,7.716,0.439,,0.9387,,,,,,,,,,,,,,,,,,,,-10.434,,,,,,,,,,,,,,,,,,,,,4.018089581,248.87,He,
SDSS J103651.09+483754.0,10 36 51.13,48 37 53.90,DZA,14554.0,9.0,1.187,,0.317,-5.055,,,,,,,,,,,,,,,,,,,-8.2768,,,,,,,,,,,,,,,,,,,,,3.187369113,313.74,He,
SDSS J103658.86+053437.0,10 36 58.86,05 34 37.02,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3155,188.13,,
